SESTAT DATA DICTIONARY/FILE LAYOUT FOR EPCG23.DAT

SAS NAME          LENGTH   FORMAT   START    END     TYPE         LABEL
--------          ------   ------   -----    -----   ---------    ------------------------------
ACADV              0001    $CHAR1.  00001    00001   Character    N_ED_REF_WK_ENROLL_REAS_ADVANCEMT
ACCAR              0001    $CHAR1.  00002    00002   Character    N_ED_REF_WK_ENROLL_REAS_BEGIN_CAREER
ACCCEP             0001    $CHAR1.  00003    00003   Character    N_ED_REF_WK_EMP_ASSISTANCE
ACCHG              0001    $CHAR1.  00004    00004   Character    N_ED_REF_WK_ENROLL_REAS_CHG_FLD
ACDRG              0001    $CHAR1.  00005    00005   Character    N_ED_REF_WK_WORK_DEGREE
ACEM               0001    $CHAR1.  00006    00006   Character    N_ED_REF_WK_ENROLL_REAS_EMPR_REQ
ACFPT              0001    $CHAR1.  00007    00007   Character    N_ED_REF_WK_ENROLL_FT_PT_IND
ACGRD              0001    $CHAR1.  00008    00008   Character    N_ED_REF_WK_ENROLL_REAS_PREP_GRAD_SCHL
ACINT              0001    $CHAR1.  00009    00009   Character    N_ED_REF_WK_ENROLL_REAS_PERSONL
ACLIC              0001    $CHAR1.  00010    00010   Character    N_ED_REF_WK_ENROLL_REAS_LICENSING
ACOT               0001    $CHAR1.  00011    00011   Character    N_ED_REF_WK_ENROLL_REAS_OTHR
ACSIN              0001    $CHAR1.  00012    00012   Character    N_ED_REF_WK_ENROLL_IND_REV
ACSKL              0001    $CHAR1.  00013    00013   Character    N_ED_REF_WK_ENROLL_REAS_ACQ_SKILL
ACTCAP             0001    $CHAR1.  00014    00014   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_COMPUTER
ACTDED             0001    $CHAR1.  00015    00015   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_DEV_DESIGN
ACTMGT             0001    $CHAR1.  00016    00016   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_MGT_SALES
ACTRD              0001    $CHAR1.  00017    00017   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV
ACTRD2             0001    $CHAR1.  00018    00018   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_2
ACTRDT             0001    $CHAR1.  00019    00019   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH_DEV_TEACH
ACTRES             0001    $CHAR1.  00020    00020   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_RSRCH
ACTTCH             0001    $CHAR1.  00021    00021   Character    F_JOB_WRK_ACTIVITY_PRIM_SEC_TEACH
AGE                0007    7.0      00022    00028   Numeric      U_DEM_AGE 
AGEGR              0007    7.0      00029    00035   Numeric      U_DEM_AGE_GROUP_5_YR_GROUPING
ASDGRI             0001    $CHAR1.  00036    00036   Character    K_ED_AA_DEGREE_IND
ASIAN              0001    $CHAR1.  00037    00037   Character    U_DEM_RACE_ASIAN
ASIND              0001    $CHAR1.  00038    00038   Character    U_DEM_RACE_ASIAN_INDIAN
BAACYR             0010    10.0     00039    00048   Numeric      J_ED_BA_DEGREE_AWARD_ACADEMIC_YR
BAAYR3             0010    10.0     00049    00058   Numeric      J_ED_BA_DEGREE_AWARD_YR_3_YR_GROUPING
BAAYR5             0010    10.0     00059    00068   Numeric      J_ED_BA_DEGREE_AWARD_YR_5_YR_GROUPING
BACRN21C           0002    $CHAR2.  00069    00070   Character    J_ED_BA_SCHOOL_CARNEGIE_CLS_2021
BADG               0001    $CHAR1.  00071    00071   Character    J_ED_BA_DEGREE_TYPE
BADGRUS            0002    $CHAR2.  00072    00073   Character    J_ED_BA_SCHOOL_REGION_US_NONUS
BAIND              0001    $CHAR1.  00074    00074   Character    J_ED_BA_INDICATOR
BAMN               0008    8.0      00075    00082   Numeric      J_ED_BA_DEGREE_AWARD_MO
BAPBP21C           0001    $CHAR1.  00083    00083   Character    J_ED_BA_SCHOOL_PUB_OR_PRIV_2021
BARGN              0002    $CHAR2.  00084    00085   Character    J_ED_BA_SCHOOL_REGION
BAST_TOGA          0003    $CHAR3.  00086    00088   Character    J_ED_BA_SCHOOL_ST_CTRY_CD_TOGA
BAYR               0010    10.0     00089    00098   Numeric      J_ED_BA_DEGREE_AWARD_YR
BIRYR              0009    9.0      00099    00107   Numeric      U_DEM_BIRTH_DATE_YR
BLACK              0001    $CHAR1.  00108    00108   Character    U_DEM_RACE_BLACK
BSDGN              0003    3.0      00109    00111   Numeric      J_ED_BA_AND_ABOVE_DEGREE_NBR
BSDGRI             0001    $CHAR1.  00112    00112   Character    K_ED_BS_DEGREE_IND
BTHRGN             0002    $CHAR2.  00113    00114   Character    U_DEM_BIRTH_PLACE_REGION
BTHST_TOGA         0003    $CHAR3.  00115    00117   Character    U_DEM_BIRTH_PLACE_ST_CNTRY_CD_TOGA
BTHUS              0002    $CHAR2.  00118    00119   Character    U_DEM_BIRTH_PLACE_REGION_US_NONUS
CARN21C            0002    $CHAR2.  00120    00121   Character    E_JOB_EMPLR_EDUC_INST_CARNEGIE_CLS_2021
CCASDG             0001    $CHAR1.  00122    00122   Character    K_ED_COM_COLL_REAS_AA_DEGR
CCBSDG             0001    $CHAR1.  00123    00123   Character    K_ED_COM_COLL_REAS_BA_DEGR
CCCHGFL            0001    $CHAR1.  00124    00124   Character    K_ED_COM_COLL_REAS_CHG_FLD
CCCOLPR            0001    $CHAR1.  00125    00125   Character    K_ED_COM_COLL_REAS_PREP_COLL
CCCRHS             0001    $CHAR1.  00126    00126   Character    K_ED_COM_COLL_REAS_EARN_CRED_INHS
CCCRN21C           0002    $CHAR2.  00127    00128   Character    K_ED_AA_SCHOOL_CARNEGIE_CLS_2021
CCFIN              0001    $CHAR1.  00129    00129   Character    K_ED_COM_COLL_REAS_FINANCIAL
CCINCD             0006    $CHAR6.  00130    00135   Character    K_ED_AA_SCHOOL_CODE
CCINT              0001    $CHAR1.  00136    00136   Character    K_ED_COM_COLL_REAS_PERSONL
CCOT               0001    $CHAR1.  00137    00137   Character    K_ED_COM_COLL_REAS_OTHR
CCPB21C            0001    $CHAR1.  00138    00138   Character    K_ED_AA_SCHOOL_PUB_OR_PRIV_2021
CCPRAD             0001    $CHAR1.  00139    00139   Character    K_ED_COM_COLL_REAS_JOB_ADVANCE
CCPRI              0002    $CHAR2.  00140    00141   Character    K_ED_COM_COLL_REAS_PRI
CCSEC              0002    $CHAR2.  00142    00143   Character    K_ED_COM_COLL_REAS_SEC
CCSKL              0001    $CHAR1.  00144    00144   Character    K_ED_COM_COLL_REAS_ACQ_SKILLS
CCST_TOGA          0003    $CHAR3.  00145    00147   Character    K_ED_AA_SCHOOL_ST_CTRY_CD_TOGA
CH1218             0007    7.0      00148    00154   Numeric      W_DEM_CHILDREN_NBR_12_18
CH1218IN           0001    $CHAR1.  00155    00155   Character    W_DEM_CHILDREN_IND_12_18
CH19               0007    7.0      00156    00162   Numeric      W_DEM_CHILDREN_NBR_19
CH19IN             0001    $CHAR1.  00163    00163   Character    W_DEM_CHILDREN_IND_19
CH25               0007    7.0      00164    00170   Numeric      W_DEM_CHILDREN_NBR_2_5
CH25IN             0001    $CHAR1.  00171    00171   Character    W_DEM_CHILDREN_IND_2_5
CH6                0007    7.0      00172    00178   Numeric      W_DEM_CHILDREN_NBR_UNDER_6
CH611              0007    7.0      00179    00185   Numeric      W_DEM_CHILDREN_NBR_6_11
CH611IN            0001    $CHAR1.  00186    00186   Character    W_DEM_CHILDREN_IND_6_11
CH6IN              0001    $CHAR1.  00187    00187   Character    W_DEM_CHILDREN_IND_UNDER_6
CHAMORRO           0001    $CHAR1.  00188    00188   Character    U_DEM_RACE_CHAMORRO
CHCHG              0001    $CHAR1.  00189    00189   Character    D_JOB_CHG_REAS_CAREER_CHG
CHCON              0001    $CHAR1.  00190    00190   Character    D_JOB_CHG_REAS_WRKNG_CONDS
CHFAM              0001    $CHAR1.  00191    00191   Character    D_JOB_CHG_REAS_FAMILY
CHINESE            0001    $CHAR1.  00192    00192   Character    U_DEM_RACE_CHINESE
CHLAY              0001    $CHAR1.  00193    00193   Character    D_JOB_CHG_REAS_LAID_OFF
CHLOC              0001    $CHAR1.  00194    00194   Character    D_JOB_CHG_REAS_LOCATN
CHLVIN             0001    $CHAR1.  00195    00195   Character    W_DEM_CHILDREN_IN_HOUSEHOLD
CHOT               0001    $CHAR1.  00196    00196   Character    D_JOB_CHG_REAS_OTHR
CHPAY              0001    $CHAR1.  00197    00197   Character    D_JOB_CHG_REAS_PAY_OR_PROMOT
CHRET              0001    $CHAR1.  00198    00198   Character    D_JOB_CHG_REAS_RETIRED
CHSCH              0001    $CHAR1.  00199    00199   Character    D_JOB_CHG_REAS_SCHOOL_RELTD
CHU2               0007    7.0      00200    00206   Numeric      W_DEM_CHILDREN_NBR_UNDER_2
CHU2IN             0001    $CHAR1.  00207    00207   Character    W_DEM_CHILDREN_IND_UNDER_2
CHUN12             0001    $CHAR1.  00208    00208   Character    W_DEM_CHILDREN_UNDER_12_IND
CLIC               0001    $CHAR1.  00209    00209   Character    D_JOB_CERT_LICEN_ACTIVE
CLICBIZ            0001    $CHAR1.  00210    00210   Character    D_JOB_CERT_LICEN_REAS_BUS
CLICCEU            0001    $CHAR1.  00211    00211   Character    D_JOB_CERT_LICEN_CONT_ED
CLICCHOC           0001    $CHAR1.  00212    00212   Character    D_JOB_CERT_LICEN_REAS_DIFF_OCC
CLICCODE           0003    $CHAR3.  00213    00215   Character    D_JOB_CERT_LICEN_CODE
CLICCOST           0001    $CHAR1.  00216    00216   Character    D_JOB_CERT_LICEN_EMP_PAID
CLICEM             0001    $CHAR1.  00217    00217   Character    D_JOB_CERT_LICEN_REAS_REQ
CLICISS            0001    $CHAR1.  00218    00218   Character    D_JOB_CERT_LICEN_ISSUE
CLICLAW            0001    $CHAR1.  00219    00219   Character    D_JOB_CERT_LICEN_REAS_REQ_LAW
CLICNMBR           0003    3.0      00220    00222   Numeric      D_JOB_CERT_LICEN_NMBR
CLICNOW            0001    $CHAR1.  00223    00223   Character    D_JOB_CERT_LICEN_CURR_JOB
CLICOPPS           0001    $CHAR1.  00224    00224   Character    D_JOB_CERT_LICEN_REAS_OPPS
CLICOT             0001    $CHAR1.  00225    00225   Character    D_JOB_CERT_LICEN_REAS_OTHER
CLICSKL            0001    $CHAR1.  00226    00226   Character    D_JOB_CERT_LICEN_REAS_SKILL
CLICWKR            0001    $CHAR1.  00227    00227   Character    D_JOB_CERT_LICEN_WRK_RELATE
CLICYR             0009    9.0      00228    00236   Numeric      D_JOB_CERT_LICEN_YR_ISSUE
CMEDU              0001    $CHAR1.  00237    00237   Character    V_DEM_FIRST_CAME_REASON_TO_US_EDUCATION
CMFAM              0001    $CHAR1.  00238    00238   Character    V_DEM_FIRST_CAME_REASON_TO_US_FAMILY
CMFLD              0001    $CHAR1.  00239    00239   Character    V_DEM_FIRST_CAME_REASON_TO_US_SCIENCE
CMNOT              0001    $CHAR1.  00240    00240   Character    V_DEM_FIRST_CAME_REASON_TO_US_NOT_THEIR_DECISION
CMOPP              0001    $CHAR1.  00241    00241   Character    V_DEM_FIRST_CAME_REASON_TO_US_JOB
CMOT               0001    $CHAR1.  00242    00242   Character    V_DEM_FIRST_CAME_REASON_TO_US_OTHER
CMPRI              0001    $CHAR1.  00243    00243   Character    V_DEM_FIRST_CAME_REASON_TO_US_PRIMARY
CMSEC              0001    $CHAR1.  00244    00244   Character    V_DEM_FIRST_CAME_REASON_TO_US_SECONDARY
COHORT             0001    $CHAR1.  00245    00245   Character    Z_SURVEY_COHORT
COMCOLI            0001    $CHAR1.  00246    00246   Character    K_ED_COM_COLL_IND
CSAFBS             0001    $CHAR1.  00247    00247   Character    K_ED_COM_COLL_AFTER_BS
CSAFY              0001    $CHAR1.  00248    00248   Character    K_ED_COM_COLL_AFTER_COLL
CSAHS              0001    $CHAR1.  00249    00249   Character    K_ED_COM_COLL_AFTER_HS
CSHS               0001    $CHAR1.  00250    00250   Character    K_ED_COM_COLL_IN_HS
CSWFY              0001    $CHAR1.  00251    00251   Character    K_ED_COM_COLL_B4_BS
CTZDUAL            0001    $CHAR1.  00252    00252   Character    V_DEM_DUAL_CITIZEN
CTZFOR             0001    $CHAR1.  00253    00253   Character    V_DEM_NON_US_CITIZEN
CTZN               0001    $CHAR1.  00254    00254   Character    V_DEM_CITIZENSHIP_STATUS
CTZUS              0001    $CHAR1.  00255    00255   Character    V_DEM_US_CITIZENSHIP_STATUS
CTZUSIN            0001    $CHAR1.  00256    00256   Character    V_DEM_CITIZENSHIP_US_CITIZEN
D23YR              0010    10.0     00257    00266   Numeric      P_ED_2ND_HD_DEGREE_AWARD_YR_3_YR_GROUPING
D25YR              0010    10.0     00267    00276   Numeric      P_ED_2ND_HD_DEGREE_AWARD_YR_5_YR_GROUPING
D2ADV              0001    $CHAR1.  00277    00277   Character    P_ED_2ND_DEGREE_REAS_ADVANCEMT
D2AYR              0010    10.0     00278    00287   Numeric      P_ED_2ND_HD_DEGREE_AWARD_ACADEMIC_YR
D2CAR              0001    $CHAR1.  00288    00288   Character    P_ED_2ND_DEGREE_REAS_BEGIN_CAREER
D2CHG              0001    $CHAR1.  00289    00289   Character    P_ED_2ND_DEGREE_REAS_CHG_FLD
D2CRN21C           0002    $CHAR2.  00290    00291   Character    P_ED_2ND_HD_SCHOOL_CARNEGIE_CLS_2021
D2DG               0001    $CHAR1.  00292    00292   Character    P_ED_2ND_HD_DEGREE_TYPE
D2DGRUS            0002    $CHAR2.  00293    00294   Character    P_ED_2ND_HD_SCHOOL_REGION_US_NONUS
D2EM               0001    $CHAR1.  00295    00295   Character    P_ED_2ND_DEGREE_REAS_EMPR_REQ
D2GRD              0001    $CHAR1.  00296    00296   Character    P_ED_2ND_DEGREE_REAS_PREP_GRAD_SCHL
D2INCD             0006    $CHAR6.  00297    00302   Character    P_ED_2ND_HD_SCHOOL_CODE
D2INT              0001    $CHAR1.  00303    00303   Character    P_ED_2ND_DEGREE_REAS_PERSONL
D2LIC              0001    $CHAR1.  00304    00304   Character    P_ED_2ND_DEGREE_REAS_LICENSING
D2MN               0008    8.0      00305    00312   Numeric      P_ED_2ND_HD_DEGREE_AWARD_MO
D2OT               0001    $CHAR1.  00313    00313   Character    P_ED_2ND_DEGREE_REAS_OTHR
D2PBP21C           0001    $CHAR1.  00314    00314   Character    P_ED_2ND_HD_SCHOOL_PUB_OR_PRIV_2021
D2RGN              0002    $CHAR2.  00315    00316   Character    P_ED_2ND_HD_SCHOOL_REGION
D2SKL              0001    $CHAR1.  00317    00317   Character    P_ED_2ND_DEGREE_REAS_ACQ_SKILL
D2ST_TOGA          0003    $CHAR3.  00318    00320   Character    P_ED_2ND_HD_SCHOOL_ST_CTRY_CD_TOGA
D2YR               0010    10.0     00321    00330   Numeric      P_ED_2ND_HD_DEGREE_AWARD_YR
D33YR              0010    10.0     00331    00340   Numeric      Q_ED_3RD_HD_DEGREE_AWARD_YR_3_YR_GROUPING
D35YR              0010    10.0     00341    00350   Numeric      Q_ED_3RD_HD_DEGREE_AWARD_YR_5_YR_GROUPING
D3ADV              0001    $CHAR1.  00351    00351   Character    Q_ED_3RD_DEGREE_REAS_ADVANCEMT
D3AYR              0010    10.0     00352    00361   Numeric      Q_ED_3RD_HD_DEGREE_AWARD_ACADEMIC_YR
D3CAR              0001    $CHAR1.  00362    00362   Character    Q_ED_3RD_DEGREE_REAS_BEGIN_CAREER
D3CHG              0001    $CHAR1.  00363    00363   Character    Q_ED_3RD_DEGREE_REAS_CHG_FLD
D3CRN21C           0002    $CHAR2.  00364    00365   Character    Q_ED_3RD_HD_SCHOOL_CARNEGIE_CLS_2021
D3DG               0001    $CHAR1.  00366    00366   Character    Q_ED_3RD_HD_DEGREE_TYPE
D3DGRUS            0002    $CHAR2.  00367    00368   Character    Q_ED_3RD_HD_SCHOOL_REGION_US_NONUS
D3EM               0001    $CHAR1.  00369    00369   Character    Q_ED_3RD_DEGREE_REAS_EMPR_REQ
D3GRD              0001    $CHAR1.  00370    00370   Character    Q_ED_3RD_DEGREE_REAS_PREP_GRAD_SCHL
D3INCD             0006    $CHAR6.  00371    00376   Character    Q_ED_3RD_HD_SCHOOL_CODE
D3INT              0001    $CHAR1.  00377    00377   Character    Q_ED_3RD_DEGREE_REAS_PERSONL
D3LIC              0001    $CHAR1.  00378    00378   Character    Q_ED_3RD_DEGREE_REAS_LICENSING
D3MN               0008    8.0      00379    00386   Numeric      Q_ED_3RD_HD_DEGREE_AWARD_MO
D3OT               0001    $CHAR1.  00387    00387   Character    Q_ED_3RD_DEGREE_REAS_OTHR
D3PBP21C           0001    $CHAR1.  00388    00388   Character    Q_ED_3RD_HD_SCHOOL_PUB_OR_PRIV_2021
D3RGN              0002    $CHAR2.  00389    00390   Character    Q_ED_3RD_HD_SCHOOL_REGION
D3SKL              0001    $CHAR1.  00391    00391   Character    Q_ED_3RD_DEGREE_REAS_ACQ_SKILL
D3ST_TOGA          0003    $CHAR3.  00392    00394   Character    Q_ED_3RD_HD_SCHOOL_ST_CTRY_CD_TOGA
D3YR               0010    10.0     00395    00404   Numeric      Q_ED_3RD_HD_DEGREE_AWARD_YR
D43YR              0010    10.0     00405    00414   Numeric      R_ED_4TH_HD_DEGREE_AWARD_YR_3_YR_GROUPING
D45YR              0010    10.0     00415    00424   Numeric      R_ED_4TH_HD_DEGREE_AWARD_YR_5_YR_GROUPING
D4ADV              0001    $CHAR1.  00425    00425   Character    R_ED_4TH_DEGREE_REAS_ADVANCEMT
D4AYR              0010    10.0     00426    00435   Numeric      R_ED_4TH_HD_DEGREE_AWARD_ACADEMIC_YR
D4CAR              0001    $CHAR1.  00436    00436   Character    R_ED_4TH_DEGREE_REAS_BEGIN_CAREER
D4CHG              0001    $CHAR1.  00437    00437   Character    R_ED_4TH_DEGREE_REAS_CHG_FLD
D4CRN21C           0002    $CHAR2.  00438    00439   Character    R_ED_4TH_HD_SCHOOL_CARNEGIE_CLS_2021
D4DG               0001    $CHAR1.  00440    00440   Character    R_ED_4TH_HD_DEGREE_TYPE
D4DGRUS            0002    $CHAR2.  00441    00442   Character    R_ED_4TH_HD_SCHOOL_REGION_US_NONUS
D4EM               0001    $CHAR1.  00443    00443   Character    R_ED_4TH_DEGREE_REAS_EMPR_REQ
D4GRD              0001    $CHAR1.  00444    00444   Character    R_ED_4TH_DEGREE_REAS_PREP_GRAD_SCHL
D4INCD             0006    $CHAR6.  00445    00450   Character    R_ED_4TH_HD_SCHOOL_CODE
D4INT              0001    $CHAR1.  00451    00451   Character    R_ED_4TH_DEGREE_REAS_PERSONL
D4LIC              0001    $CHAR1.  00452    00452   Character    R_ED_4TH_DEGREE_REAS_LICENSING
D4MN               0008    8.0      00453    00460   Numeric      R_ED_4TH_HD_DEGREE_AWARD_MO
D4OT               0001    $CHAR1.  00461    00461   Character    R_ED_4TH_DEGREE_REAS_OTHR
D4PBP21C           0001    $CHAR1.  00462    00462   Character    R_ED_4TH_HD_SCHOOL_PUB_OR_PRIV_2021
D4RGN              0002    $CHAR2.  00463    00464   Character    R_ED_4TH_HD_SCHOOL_REGION
D4SKL              0001    $CHAR1.  00465    00465   Character    R_ED_4TH_DEGREE_REAS_ACQ_SKILL
D4ST_TOGA          0003    $CHAR3.  00466    00468   Character    R_ED_4TH_HD_SCHOOL_ST_CTRY_CD_TOGA
D4YR               0010    10.0     00469    00478   Numeric      R_ED_4TH_HD_DEGREE_AWARD_YR
D53YR              0010    10.0     00479    00488   Numeric      S_ED_5TH_HD_DEGREE_AWARD_YR_3_YR_GROUPING
D55YR              0010    10.0     00489    00498   Numeric      S_ED_5TH_HD_DEGREE_AWARD_YR_5_YR_GROUPING
D5ADV              0001    $CHAR1.  00499    00499   Character    S_ED_5TH_DEGREE_REAS_ADVANCEMT
D5AYR              0010    10.0     00500    00509   Numeric      S_ED_5TH_HD_DEGREE_AWARD_ACADEMIC_YR
